#Chinese	#English
國際佛光會	Buddha's Light International Association (BLIA)
國際佛光會世界總會	BLIA World Headquaters
國際佛光會世界總會　　辦事處	BLIA World Headquarters  XX Regional Office
國際佛光會　　協會	BLIA  XX Chapter
國際佛光會　　分會	BLIA  XX Subchapter
理事會	Board of Directors
協會	Chapter
分會	Subchapter
籌備會	Organizing Committee
佛光青年團	BLIA Young Adult Division
佛光童軍團	BLIA Scouts Division
秘書處	Secretarial Affairs Office
法制處	Legal Affairs Office
財務處	Treasurer's Office
世界急難救助委員會	International Emergency Relief Committee
殘障福利委員會	Support Committee for the Physically-Challenged
社會慈善委員會	Social Charity Committee
佛光獎學金籌備委員會	BLIA Scholarship Organizing Committee
中華文教開發委員會	Chinese Culture and Education Development Committee
會址籌建委員會	Site Planning Committee
財務開發委員會	Financial Resources Committee
佛教青年委員會	Buddhist Young Adult Outreach Committee
青少年教育委員會	Youth Education Committee
佛教兒童教育委員會	Children's Education Committee
佛光童軍委員會	BLIA Scouts Committee
調解聯誼委員會	Mediation Committee
活動策劃委員會	Activity Planning Committee
文教資訊委員會	Cultural and Educational Information Committee
大眾傳播委員會	Media Committee
廣電推展委員會	Radio and TV Broadcasting Promotion and Development Committee
佛光藝術委員會	Buddha's Light Art Committee
佛光攝影委員會	BLIA Photography Committee
佛教有聲出版委員會	Buddhist Audio-Visual Promotion Committee
會員服務委員會	Member Services Committee
佛光事業人才推薦委員會	BLIA Human Resource Allocation Committee
上座部發展委員會	Theravada Affairs Committee
督導聯誼委員會	Elder Advisors Fellowship Committee
檀講師聯誼委員會	Lay Dharma Lecturers Fellowship Committee
教師聯誼委員會	Teachers Fellowship Committee
佛光金剛聯誼委員會	Buddha's Light Men's Fellowship Committee
佛光婦女聯誼委員會	Buddha's Light Women's Fellowship Committee
非漢語系聯誼委員會	Multi-Language Fellowship Committee
東北亞聯誼委員會	North-East Asia Fellowship Committee
東南亞聯誼委員會	South-East Asia Fellowship Committee
美東聯誼委員會	America East Fellowship Committee
美中聯誼委員會	America Central Fellowship Committee
美西聯誼委員會	America West Fellowship Committee
中南美洲聯誼委員會	Central and South America Fellowship Committee
歐洲聯誼委員會	Europe Fellowship Committee
大洋洲聯誼委員會	Oceania Fellowship Committee
非洲聯誼委員會	Africa Fellowship Committee
籌建佛光休閒中心委員會	Buddha's Light Resort Planning Committee
資訊網路委員會	Information Network Committee
資源開發委員會	Resources Development Committee
護法敬僧委員會	Dharma and Sangha Affairs Committee
獎懲評審委員會	Performance Review Committee
會務發展委員會	BLIA Affairs Development Committee
佛教翻譯委員會	Buddhism Translation Committee
社會福利委員會	Social Welfare Committee
社會教化委員會	Social Enrichment Committee
執行委員會	Executive Committee
常設委員會	Working Committee
公共關係組	Public Relations Unit
文化活動組	Cultural Activities Unit
文宣教材組	Educational Material Circulation Unit
文教推廣組	Cultural & Educational Promotion Unit
行政文書組	Administration Unit
社會關懷組	Community Services Unit
教育研習組	Educational Research Unit
會員拓習組	Member Recruitment Unit
會員福利組	Member Support Unit
資訊文宣組	Information and Promotion Unit
道場護持組	Dharma Center Patrons' Unit
網路資訊組	Internet Unit
廣播電視組	Radio & TV Broadcasting Unit
禪淨修持組	Ch'an and Pure Land Cultivation Unit
總務管理組	General Affairs Unit
職訓聯絡組	Training & Development Unit
會籍組	Membership Unit
永遠榮譽總會長	Honorary Headquarters President
世界總會總會長	World Headquarters President
創會總會長	Founding President
榮譽總會長	Honorary President
長老	Elder
會長	President
星雲大師	Ven. Master Hsing Yun
主席	Chairperson
當然主席	Ex-Officio Chairperson
理事	Director 
常務理事	Executive Director 
秘書長	Secretary-General
副秘書長	Deputy Secretary-General
法制長	Legal Affairs Officer
副法制長	Deputy Legal Affairs Officer
財務長	Treasurer
副財務長	Duputy Treasurer
主任委員	Committee Director
副主任委員	Deputy Committee Director
委員	Committee Member
督導	Elder Advisor
輔導法師	Monastics Advisor
秘書	Secretary
分會會長	Subchapter President
分會副會長	Subchapter Vice President
顧問	Advisor
會員代表	Member Delegate
當然代表	Ex-Officio Delegate
基本代表	Mandatory Delegate
觀察員	Observer
觀禮員	Spectator 
弘導師	Monastic Dharma Mentor
弘教師	Monastic Dharma Teacher
弘講師	Monastic Dharma Lecturer
檀導師	Lay Dharma Mentor
檀教師	Lay Dharma Teacher 
檀講師	Lay Dharma Lecturer
佛光人	BLIA Member
佛光之友	Friends of Buddha's Light
佛光家庭	BLIA Family
佛光道場	Fo Guang Shan Dharma Center
佛光金剛	BLIA Men
佛光婦女	BLIA Women
個人會員	Individual Member
預備會員	Initiate Member
團體會員	Corporate Member
心定和尚	Elder Monk Hsin Ting
三寶頌	Ode To the Triple Gem
世界大會	General Conference
世大會籌備委員會	General Conference Organizing Committee
主題演說	Keynote Speech
宣誓典禮	Individual Member Oath Taking Ceremony
成立辦法	Formation Procedure
成立證書	Inauguration Certificate
組織圖例	Organization Chart
章程	Articles of Incorporation
憲章	Bylaws
會務議會	General Meeting
會費	Membership Fee
會旗	BLIA Flag
會歌	BLIA Anthem
會徽	BLIA Emblem
手印	BLIA Mudra
當選證書	Election Certificate
聘任辦法	Employment Procedure
聘任證書	Employment Certificate
聘書	Employment Contract
委任證書	Certificate of Appointment
會服背心	Membership Vest
會服旗袍	Women's Membership Dress
會長肩帶	Presidential Sash
會員手冊	Member Handbook
佛光世紀	Buddha's Light Newsletter
佛光學	Fo Guang Buddhist / Buddha's Light Studies
佛光日	Buddha's Light Day
佛寶節	Buddha Day
法寶節	Dharma Day
僧寶節	Sangha Day
第一次世界大會	BLIA First General Conference
第二屆第四次理事會	Fourth Meeting of the Second Board of Directors
世界佛光青年大會	International Buddha's Light Young Adult Conference
三壇大戒	Triple Platform Full Ordination Ceremony
三皈五戒	Taking Refuge and Five Precepts Ceremony
行腳托缽	Alms Procession
朝山活動	Pilgrimage
短期出家修道會	Short-term Monastic Retreat
功德主會	Patrons Conference
幹部講習會	Executive Training Seminar
佛光成年禮	Buddha's Light Adulthood Ceremony
祈求世界和平活動	Prayer for World Peace Ceremony
梵音樂舞藝術活動	Buddhist Music and Cultural Art Performance
花藝大展	Floral Exhibition
素食品嚐會	Vegetarian Food Fair
讀書發表會	Buddhism Study Workshop
平等與和平	Equality and Peace
同體與共生	Oneness and Coexistence
自然與生命	Nature and Life
尊重與包容	Respect and Tolerance
圓滿與自在	Wholeness and Freeness
歡喜與融和	Joy and Harmony
公是公非	One Truth for All
佛光鬆柔法	Buddha's Light Relaxation Exercises
佛光三昧修持法	Buddha's Light Meditation Practice
七誡運動歌	Song of Encouragement
人間福報	Merit Times
佛光山教團	Fo Guang Shan Buddhist Order
佛光大學	Fo Guang University
佛光山國際翻譯中心	Fo Guang Shan International Translation Center
信徒大學	Devotees' University
佛陀紀念館	Buddha's Relic Pagoda
佛光教科書	Fo Guang Textbooks
佛光大藏經	Fo Guang Buddhist Canon
佛光大辭典	Fo Guang Buddhist Dictionary
佛光祈願文	Fo Guang Prayer
中國佛教經典寶藏精選白話版	Excerpts of Chinese Buddhist Tripitaka in Modern Textes
佛光世紀	Buddha's Light Newsletter
普門雜誌	Universal Gate Magazine
覺世旬刊	Awaken The World Journal
大慈育幼院	Ta Tzu Children's Home
生壽婚慶儀禮	Birth and Marriage Celebrations
問病喪葬儀禮	Patients Visit and Funeral Rites
