#Chinese	#English	#Category Abbrv.	#Category （WZ)	#Reference Source	#相關辭彙	#參考資料	#備註
白象幹部	White Elephant Executive	title		2012 BLIA World Headquarters General Conference			
禪淨共修獻燈祈福法會	Chan and Pure Land Prayer Service	event		A Letter to Dharma Protectors and Friends in 2022 致護法朋友的一封信			
禪淨密三修獻燈祈福法會	Chan, Pure Land, and Esoteric Dharma Function and Light Offering Ceremony	event		2012 BLIA World Headquarters General Conference			
禪與生活	Chan and Life	pub.		國際佛光會世界總會特刊 Buddha's Light International Association World Headquarters Commemorative Journal			
代表	"1. Representative; (not sure of ""Representative"", I remember they are just ""Delegate"")
2. Delegate (BLIA)"	title		BLIA Website 國際佛光會 網站			
當然代表	Ex-officio Delegate (BLIA)	title		BLIA Website 國際佛光會 網站			
讀書會帶領人講習會	Humanistic Buddhism Reading Group Facilitator’s Training Seminar	event		國際佛光會世界總會特刊 Buddha's Light International Association World Headquarters Commemorative Journal			
發心與發展	To Resolve and To Develop	quot.		"Cloud and Water 雲水三千,
佛光山開山四十週年紀念特刊_6國際佛光會 (BLIA Theme)"			
佛誕浴佛法會	Bathing the Buddha Celebration	event		佛光山開山四十週年紀念特刊_6國際佛光會, 佛光山開山四十週年紀念特刊_8佛光道場			
佛光寶寶祝福禮	Fo Guang (Buddha's Light as well) Baby Blessing Ceremony	event		國際佛光會世界總會特刊 Buddha's Light International Association World Headquarters Commemorative Journal			
佛光會督導研習營	BLIA Elder Advisors Seminar	event		Cloud and Water 雲水三千			
佛光會幹部叢林生活營	BLIA Executive Training Seminar	event		Cloud and Water 雲水三千			
佛光菩提眷屬慶祝賀禮	Fo Guang Bodhi Couple Vow Renewal Ceremony	event		佛光山開山四十週年紀念特刊_1佛光宗風			
佛光青年白象幹部培訓	BLIA-YAD White Elephant Training Workshop	event		Fo Guang Shan: Our Report 2016-2017 佛光山我們的報告			
佛光青年成年禮	Fo Guang Adulthood Ceremony	event		Cloud and Water 雲水三千			
佛光青年幹部成長營	Buddha’s Light Young Adult Executive Growth And Development Camp	event		Cloud and Water 雲水三千			
佛光人	Fo Guang member; Buddha’s Light member	h.b.term					
佛光世紀	Buddha’s Light Newsletter	pub.		2002 BLIA World Headquarters 10th Anniverary Special Edition, Standardized All FGS English Names and Terms 2005, 佛光山開山四十週年紀念特刊_6國際佛光會			Publication & Dharma Lecture
佛光體系青年大會師	Fo Guang Shan Youth Summit	event		A Letter to Dharma Protectors and Friends in 2022 致護法朋友的一封信			
佛光童軍服務員知能研習營	Buddha’s Light Scouts Staff Seminar	event		2012 BLIA World Headquarters General Conference			
佛光之夜	Night of the Buddha’s Light	event		2012 BLIA World Headquarters General Conference			
副會長	Vice President (of chapter/subchapter, e.g. BLIA)	title		佛光山宗委會派下徒眾人事一覽表			
副主任委員	1. Deputy Executive Director; 2. Deputy Committee Director (BLIA)	title		BLIA Website 國際佛光會 網站			
復蔬線上公益路跑	VEGRUN	event		A Letter to Dharma Protectors and Friends in 2022 致護法朋友的一封信			
幹部講習會	Leadership Training Seminar	event		Standardized All FGS English Names and Terms 2005			
共生與共榮	Coexistence and Coprosperity	quot.		A Letter to Dharma Protectors and Friends in 2024 致護法朋友的一封信			
共識與開放	Consensus and Openness	event		A Letter to Dharma Protectors and Friends in 2017 致護法朋友的一封信			
觀察員	Observer	title		BLIA Website 國際佛光會 網站			
