#Chinese	#English_df1	#English_df2
一心	single-mindedly	
一心一意	single-mindedness	
一心不亂	state of undisturbed single-mindedness	
一心不二	single-mindedly	
一心不二	Single-Heartedly	
一念三千		The Three Thousand Realms are Within One Moment of Thought
一念之間		A Moment of Thought
一水四見	The Same Water Is Perceived in Four Ways	
一滴水		A Drop of Water
三學增上	The Threefold Training Helps One Advance	
上善若水	The Highest Form of Benevolence Is Gentle Like Water	
不二法門		The Dharma Gate of Non-Duality
不忘初心	Never Forget One’s Initial Aspirations	
不請之友	Be an Uninvited Helper	
九品蓮	Nine Stages of Lotus Incarnation	
人和	Interpersonal Harmony	
人生如畫	Life Is Like a Painting	
人貴知心	A Friend Who Knows You is Most Valuable	
人間淨土	Pure Land on Earth	
仁山智水	Benevolent as a Mountain, Wise as Water	
仁者無敵	The Benevolent Has No Enemy	
以戒為師		Regard Precepts as the Teacher
佛光法水	Buddha’s Light and Dharma Stream	
佛國淨土		Buddha's Light Pureland
佛心	Buddha’s Mind	
佛法為家	Home Is Where the Dharma Is	
佛道	the Buddha Way	
佛道	Way of the Buddha	
信解行證	Faith, Understanding, Practice, and Attainment	
光明在望	Hope Is Within Reach	
光明在望	Hope Is Within Reach	
光明藏		The Treasure of Light
光明藏		The Treasure of Light
光照大千	Light Shines on the Universe	
六時吉祥		The Six Periods of Auspiciousness
六根互用		Cooperation Between the Six Sense Organs
功果圓滿	Perfect Fruit of One’s Efforts	
勤能補拙	A Lack of Talent Can Be Made Up by Hard Work	
千山萬水	Over Mountains and Across Rivers	
合掌人生	A Life of Joined Palms	
吉祥	auspicious blessings	
和而不流	Peaceful Coexistence Without Going with the Flow	
問訊	half bow	
善巧	Skillful	
善惡		Wholesome and Unwholesome
善根	Wholesome Roots	
喜捨	joyful giving	
喜捨	joyful giving	
回頭是岸	Turn Around to Salvation	
地水火風	Earth, Water, Fire and Wind	
增上緣	Positive Conditions	
增上緣	contributory factor	
增上緣	contributory factor	
大巧若拙	The Wise Appears Slow-Witted	
大慈大悲		Great Loving Kindness and Great Compassion
大機大用	The Greater the Capability the Greater the Achievement	
天地人	heaven, earth, and humans	
天地人和		Harmony between People and Nature
天地人心	A Mind Like Earth and Heaven	
