#Chinese	#English
「人間音緣─星雲大師佛教歌曲發表會」詞庫	Lyrics for Sounds of the Human World: Venerable Master Hsing Yun's Buddhist Songs Competition
「人間音緣」入圍歌曲發表會	Buddhist Songs From Sounds of the Human World Competition
「和平鐘聲到台灣」祈求兩岸和平回向法會	“Peace Bell for Taiwan” Dharma Service
「回歸佛陀時代」弘法大會	“Return To Buddha's Time” Dharma Service
「恆河之聲」梵唄音樂會	“Sounds of the Ganges River” Buddhist Concert
「慈悲喜捨」梵唄音樂會	“Compassion, Loving-kindness, Joy And Equanimity” Buddhist Concert
「晨鐘暮鼓」梵唄音樂會	Sounds of Morning Bell And Evening Drum
「浩瀚星雲」音樂劇	Stars and Clouds Musical
「禮讚十方佛梵音樂舞」	In Praise of the Buddhas: Buddhist Chanting And Dance
「莊嚴淨土.梵音樂舞」梵唄音樂會	“Beautiful Pure Land - Buddhist Chanting And Dances”
「覺有情─星雲大師墨跡巡迴展」	To Enlighten Sentient Beings - Calligraphy Tour of Venerable Master
「釋迦牟尼佛傳」音樂劇	Siddhartha: The Musical
32養生蔬食館	32 Vegetarian Restaurant
49日精進念佛	49-Day Amitabha Chanting Retreat
人我之間要跳探戈	Personal relationships are like tango
1. 你好我壞 2. 你對我錯 3. 你大我小 4. 你有我無	1. You are well, and I am not. 2. You are right, and I am wrong. 3. You are important, and I am not. 4. You can have, and I own nothing.
一九五三宜蘭合唱團	1953 Yilan Choir
一人一世界 一心一如來	Every mind is a world; Every heart is a buddha.
一人入道 全家有福	When One Member Enters the Way; The Entire Family Will Benefit from It
一以貫之	Be Consistent
一佛出世，二佛涅槃	when one buddha is born, the other two will pass away
一佛出世，千佛護持	the birth of one buddha is made possible by thousand(s) of other buddhas
1. 一個真誠的微笑 給人無限的歡喜 2. 一句適當的鼓勵 給人無窮的受用 3. 一件慈悲的善行 給人無量的因緣 4. 一則應機的故事 給人無盡的啟示	A sincere smile offers immeasurable joy. A fitting encouragement offers endless support. An act of compassion offers boundless possibilities. A relevant story offers infinite inspirations.
一個科學者研究佛經的報告	Reports of Buddhist Studies by a Scientist
一切唯心造	All Is but a Creation of the Mind
1. 一切好事 從我本身做起  2. 一切好言 從我口中說出 3. 一切善心 從我自己開發 4. 一切善人 從我至誠禮敬	May all good causes begin from self. May all good words spread from my speech. May all good intentions begin from my heart. May all good people feel respect from me.
一切智	wisdom of all
一切有情	all living beings
一切有為法，如夢幻泡影	all conditioned phenomena are like dreams, illusions, bubbles, and shadows
一切法	all phenomena
一切眾生	all sentient beings
一切眾生皆能成佛	all sentient beings are capable of becoming buddhas
一切都是當然的	Everything is as it should be
一剎那	one ksana
一加一頌 1. 一曉一天明 2. 一天一日行 3. 一路一條道 4. 一往一來去 5. 一點一開始 6. 一筆一幅畫 7. 一手一片天 8. 一笑一歡喜 9. 一生一條命 10. 一人一顆心 11. 一句一讚歎 12. 一家一合相 13. 一默一聲雷 14. 一事一種理 15. 一諾一千金 16. 一小一無限 17. 一念一禪法 18. 一空一切色 19. 一花一世界 20. 一葉一如來	Every One Thing 1.   Every dawn breaks into a sunrise. 2.   Every day is a part of life. 3.   Every road leads to a way. 4.   Every arrival leads to departure. 5.   Every dot is a beginning. 6.   Every brush makes a painting whole. 7.   Every hand creates a world. 8.   Every smile carries a delight. 9.   Every life represents a hope. 10. Every person has a heart. 11. Every word can be a compliment. 12. Every family is a union. 13. Every silence is a thunderous statement. 14. Every incident embodies a theory. 15. Every promise is worth a thousand gold. 16. Every small matter holds infinite possibilities. 17. Every thought is Chan in practice. 18. Every emptiness comprises all matters. 19. Every flower is a world of its own. 20. Every leaf is a manifestation of Buddha.
一劫	one kalpa
一匝	to make a full circle
一半一半	Half and half
一即多，多即一	one is many, and many are one
一句	a sentence
一合相	a composite
一向	one direction
一味	one taste
一味禪	Chan of one taste
一報還一報	an eye for an eye, a tooth for a tooth
一塵不染清淨地 萬善同登般若門	Without even a speck of dust is this land of purity; Through which all virtues unite is this gate of prajna.
一大劫	one great kalpa
一子出家，九族升天	when one child renounces, nine clans of kinsmen will ascend to heaven
一家	same family
一宿覺	enlightenment in one night
一師一道	one teacher and one path
一彈指	a snap of the finger
一彈指頃	a snap of the finger
一微塵	a particle of dust
一心一德 十全十美	Single-Heartedly, Perfect in Every Way
一心二門; 1. 心真如門 2. 心生滅門	One Mind Opens Two Doors: 1. The door of suchness; 2. The door of arising and ceasing
