阿鼻地獄　極端痛苦	"Avici Hell; 
Extreme sufferings."
阿彌陀佛	Amitabha Buddha
阿彌陀佛　萬德洪名	"Amitabha Buddha; 
Name of boundless merit."
阿僧祇刼　不可計數	"Asamkya Kalpa; 
Immeasurable."
愛見煩惱　飛蛾投火	"Clinging and Vexation; 
Like a moth in the fire."
愛拼才會贏努力成功	Strive in Order to Win: strive hard to succeed
愛中你我同心緣夢	Love: you and I, heart-to-heart affinities
矮子看戲　人云亦云	"Blocked View of the Stage; 
To blindly cheer along with others"
安份守道	Abide By the Path and Fulfill One's Duty
安家樂業　恬淡知足	"Settled at Home, Satisfied at Work; 
Content with a simple life."
安靜在沸騰動靜一樣	Silent but Loud: movement and stillness are the same
安樂富足	Peace, Joy, Wealth, and Abundance
安寧	Tranquility
安平	Safety and Peace
安然	Peaceful
安然一如	Peace in its True Form
安忍	Patience
安善自得	At Perfect Ease With Being Good
安身立命	Settle Oneself and Establish One's Duties
安身立命　寄託心要	"Settle Oneself and Establish One's Duties; 
To trust the core teachings."
安心	Settle One's Mind
安心立命	Settle One's Mind and Establish One's Role
安心自在	A Peaceful Mind Brings Perfect Ease
安於無諍	Settle With No Disputes
安住身心	Settle the Body and Mind in Peace
安住身心　不為境轉	"Settle the Body and Mind in Peace; 
Undisturbed by one's surroundings."
八不中道　緣起法義	"Eight Negations of the Middle Way; 
Doctrine of Dependent Origination."
八大金剛　佛門護法	"Eight Great Vajras; 
Dharma protectors."
八方成全	Help Others Be Accomplished in Every Aspect
八風不動　不隨境轉	"Unmoved by the Eight Winds; 
To be unswayed by external conditions."
八功德水　殊勝潔淨	"Waters with Eight Attributes; 
Excellent and pure."
八面玲瓏　處世圓滿	"Beautiful from All Sides; 
Handled to the satisfaction of all."
八萬四千　為數眾多	"Eighty-Four Thousand; 
Of boundless and immeasurable extent."
八字打開　沒有秘密	"As if a Fortune Foretold; 
All secrets revealed."
拔刀相助　道德勇氣	"Stand Up for Others; 
With morality and courage."
把定封疆　斷絕對待	"To Establish Borders
Severing all relations."
把定世界　超越對立	"Seeing Through the World; 
Transcending opposites."
把斷咽喉　截斷知見	"Cut-Throat Determination; 
To sever all perceptions and views."
把火燒天　異想錯誤	"Setting the Sky on Fire; 
Erroneous thinking."
拔舌地獄　口業太重	"Tongue-Tearing Hell; 
Serious offenders of verbal karma."
把思念託付小雨自然纏綿	Entrust My Thoughts to the Rain: embracing nature
把素持齋　健康飲食	"To Uphold Vegetarianism; 
A healthy diet."
百尺竿頭　更進一步	"Reaching Higher than the Top of the Bamboo; 
To go above and beyond."
百醜千拙　窮形畢露	"Make a Fool of Oneself; 
To expose one's ungainliness."
百福吉祥	A Hundred Fortunes and Auspiciousness
百福莊嚴	With Abundant Merits and Solemnity
白毫之賜　珍寶相贈	"Blessings from the White-Curled One; 
Precious gifts."
百界千如　聖凡一體	"One Hundred Realms and One Thousand Thusness; 
Sages and ordinary beings are one."
白衣拜相　出人頭地	"From Rags to Riches; 
Head and shoulders above the rest."
白衣蒼狗　世事無常	"Fickle Weather; 
Impermanence of all."
白玉無瑕　沒有缺點	"White and Flawless Jade; 
Impeccable."
"白雲堆裏古家風，
萬里霜天月色同；
林下水邊人罕到，
方知吾道樂無窮。"	"Within Mounds of White Snow, the Old School Tradition
Within mounds of white snow, the old tradition,
Across an endless frosty sky, a moon just as pale;
Within forests, along rivers, scarcely visited sites,
Only then is the inifinite joy of the Way attained."
白雲萬里　心外求法	"White Clouds Across Ten Thousand Miles; 
Seeking the Dharma outside of the mind."
半偈捨身　為法忘軀	"To Sacrifice One's Life for Half a Gatha; 
To forget oneself for the sake of the Dharma."
半斤八兩　不相上下	"Six of One, Half Dozen of the Other; 
About the same."
半路出家　中年入道	"Midlife Renunciation; 
To enter the Way later in life."
半夢半醒之間似真似假	Between Wake and Dream: true yet false
半青半黃　尚未成熟	"Half Green and Half Yellow; 
Not ripe yet."
半信半疑　真假難辨	"Between Belief and Doubt; 
Hard to distinguish the real from the false."
薄地凡夫　人間眾生	"Ordinary Beings from Infertile Land; 
Sentient beings in this world."
包青天審案公平正義	Justice Bao: judge of fairness and justice
寶山空回　鎩羽而歸	"Return from Treasure Mountain Empty-Handed; 
Failure and disappointment."
寶相莊嚴　相好圓滿	"Precious, Adorned Appearance; 
Perfect and wonderful form."
報應不爽　不滅因果	"Karmic Retributions at Work; 
Cause and effect do not disappear."
抱贓叫屈　惡人告狀	"Claim Innocence While Holding Stolen Property; 
A culprit's accusation."
背塵合覺　捨迷歸真	"Leaving Defilement, Blending with Enlightenment; 
Abandoning delusions and returning to Truth."
背覺合塵　不思解脫	"Leaving Enlightenment, Blending with Defilement; 
Not thinking of liberation."
被遺忘的時光經常夢想	Forgotten Times: always dreaming
悲智雙運	Practice Compassion and Wisdom Simultaneously
悲智願行	Compassion, Wisdom, Vow, and Practice
悲智願行　名山菩薩	"Compassion, Wisdom, Vow, and Practice; 
The Four Great Bodhisattvas."
本地風光	Brilliance of the Original State
本地風光　一切照舊	"Local Scenery; 
All as usual."
本來面目	Original Face
本來面目　真如自性	"Original Face; 
Our true intrinsic nature."
本立道生	The Path is Found Once the Basis is Established
本命元辰　自我本性	"Born With It; 
The true intrinsic self."
本然清淨	Naturally Pure
"本無一事可思求，
平地風波信筆收；
從地倒時從地起，
十方世界任優游。"	"Originally with not a single thing to seek,
Letters arrive for disputes over a flat land;
Get back on your feet from where you fall,
The world would then be yours to roam."
本自圓成	Inherently Complete
筆底春風　文彩優美	"The Spring Breeze Inspires the Writing Brush; 
Displaying literary elegance."
閉關自守　多有不便	"Closed-Door Policy; 
Many restrictions."
